train_loss,preclip_norm_mean,preclip_norm_p50,preclip_norm_p90,preclip_norm_p99,clip_fraction,update_norm,step,epoch,accepted,rejected,powell_damping,modified_damping
2.3023340702056885,4.217159748077393,4.3117265701293945,4.920729637145996,5.254959583282471,1.0,0.9485697746276855,1,1,8,0,0,2
2.28070068359375,4.168972015380859,4.2425031661987305,4.871586799621582,5.275534152984619,1.0,0.9492378830909729,2,1,8,0,0,2
2.262958288192749,4.403292655944824,4.469541549682617,5.138754844665527,5.574887275695801,1.0,0.9524388313293457,3,1,8,0,0,2
2.2614517211914062,4.666481971740723,4.697315216064453,5.59843111038208,6.030977249145508,1.0,0.9501224756240845,4,1,8,0,0,2
2.239844799041748,4.921098232269287,4.992457866668701,5.774214744567871,6.526951313018799,1.0,0.9501931667327881,5,1,8,0,0,2
2.2027587890625,5.34523868560791,5.445769309997559,6.331379413604736,6.795496940612793,1.0,0.9509572386741638,6,1,8,0,0,2
2.1870219707489014,5.7486724853515625,5.774301528930664,6.765247344970703,7.569874286651611,1.0,0.9510984420776367,7,1,8,0,0,2
2.1437246799468994,6.273299217224121,6.397251129150391,7.378324508666992,8.095063209533691,1.0,0.9510881304740906,8,1,8,0,0,2
2.1306138038635254,6.908506393432617,7.019652366638184,8.046487808227539,8.802447319030762,1.0,0.948797881603241,9,1,8,0,0,2
2.1017537117004395,7.300711631774902,7.440022945404053,8.610166549682617,9.639796257019043,1.0,0.9526057839393616,10,1,8,0,0,2
2.0507328510284424,7.80598258972168,7.857678413391113,9.430593490600586,10.070514678955078,1.0,0.9509170055389404,11,1,8,0,0,2
2.017141342163086,8.52851676940918,8.621602058410645,10.524824142456055,11.564428329467773,1.0,0.9515398740768433,12,1,8,0,0,2
1.9547609090805054,9.472198486328125,9.477460861206055,11.55510139465332,13.289602279663086,1.0,0.9501281380653381,13,1,8,0,0,2
1.9218984842300415,10.437406539916992,10.578231811523438,12.335773468017578,13.704704284667969,1.0,0.9525123834609985,14,1,8,0,0,2
1.828730821609497,10.603691101074219,10.50135612487793,12.833019256591797,14.094852447509766,1.0,0.949982225894928,15,1,8,0,0,2
