method,geometry,source,engine,profiled,epsilon_target,epsilon_spent,delta,noise_multiplier,seed,epoch,train_loss,test_loss,accuracy,differentiation_seconds,factor_precondition_seconds,sample_gradient_precondition_seconds,norm_clip_seconds,aggregate_seconds,aggregate_precondition_seconds,noise_optimizer_seconds,sample_gradient_matrices_preconditioned,sample_gradient_elements_preconditioned,factor_elements_preconditioned_for_norm,aggregate_matrices_preconditioned,aggregate_elements_preconditioned,grad_sample_peak_bytes,bk_cache_peak_bytes,bk_temporary_peak_bytes,geometry_build_seconds,geometry_peak_allocated_bytes,geometry_peak_reserved_bytes,private_train_seconds,private_peak_allocated_bytes,private_peak_reserved_bytes,algorithm_seconds,evaluation_seconds,clip_fraction,mean_clip_factor,norm_p50,norm_p90,norm_p99,norm_max,logical_steps,optimizer_steps,noise_events,accountant_steps,C,learning_rate,noise_std,dataset,model,optimizer,batch_size,damping,a_power,pink_alpha,geometry_rebuild_every_epochs
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.7938043182222252,0.6755517244338989,0.7832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.0001,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.6178263062850023,0.5227460462599993,0.824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.0001,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.4691852030591068,0.41278958921029696,0.9349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.0005,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.36712337909345955,0.32442708739836235,0.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.0005,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.5078326783373824,0.43977392785745906,0.9474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.001,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.34905147762634814,0.29660288275226776,0.9551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.001,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.5100803922893654,0.44910783903451373,0.9528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.002,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.3233823075922381,0.27732488951983214,0.961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.002,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC,full,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,1.2528643839889102,1.296512504758931,0.9129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.005,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
DP-KFC-A,a_only,pink,bk,False,2.0,1.9923327141901037,1e-05,0.806884765625,42,5,0.8059074540550892,0.8225380683550612,0.9347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170,1170,1170,1170,0.1,0.005,0.0806884765625,MNIST,SimpleCNN,Adam,256,0.001,0.4,1.0,1
